"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 14 10:11:50 GMT 2025","Thu Aug 14 10:11:53 GMT 2025","3124","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Thu Aug 14 10:11:59 GMT 2025","Thu Aug 14 10:12:01 GMT 2025","1944","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Thu Aug 14 10:11:47 GMT 2025","Thu Aug 14 10:11:49 GMT 2025","1971","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Aug 14 10:11:50 GMT 2025","Thu Aug 14 10:11:51 GMT 2025","1370","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Aug 14 10:11:51 GMT 2025","Thu Aug 14 10:11:53 GMT 2025","1746","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Thu Aug 14 10:11:47 GMT 2025","Thu Aug 14 10:11:49 GMT 2025","1989","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Aug 14 10:11:53 GMT 2025","Thu Aug 14 10:11:55 GMT 2025","2047","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Thu Aug 14 10:11:59 GMT 2025","Thu Aug 14 10:12:02 GMT 2025","3402","LMS system","Courses","Courses","","","Edit course",""
"passed","Thu Aug 14 10:11:55 GMT 2025","Thu Aug 14 10:11:58 GMT 2025","2941","LMS system","Courses","Courses","","","Create course",""
"passed","Thu Aug 14 10:11:57 GMT 2025","Thu Aug 14 10:11:59 GMT 2025","1735","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
